player,age,team,league,war,games,plate_appearances,at_bats,runs,hits,homeruns,runs_batted_in,stolen_bases,bases_on_balls,strikeouts,on_base_percentage,slugging_percentage,on_base_plus_slugging_percentage,adjusted_on_base_plus_slugging_percentage,total_bases,sacrifice_hits,sacrifice_flys,position
Bryce Johnson#,30.0,SDP,NL,-0.2,32.0,49.0,45.0,5.0,8.0,0.0,2.0,5.0,3.0,18.0,0.229,0.222,0.451,28.0,10.0,1.0,0.0,H/978D
Bryan Torres*,28.0,STL,NL,0.3,18.0,49.0,43.0,6.0,10.0,2.0,5.0,1.0,5.0,8.0,0.313,0.419,0.731,106.0,18.0,1.0,0.0,7/H458D
Andrés Chaparro,27.0,WSN,NL,0.1,22.0,48.0,38.0,7.0,7.0,0.0,5.0,0.0,9.0,11.0,0.354,0.263,0.617,78.0,10.0,0.0,0.0,3/HD
Jose Trevino,33.0,CIN,NL,0.0,16.0,48.0,45.0,4.0,8.0,0.0,2.0,0.0,1.0,7.0,0.196,0.2,0.396,9.0,9.0,2.0,0.0,2/1
Braxton Fulford,27.0,COL,NL,0.1,25.0,47.0,39.0,10.0,9.0,1.0,7.0,4.0,6.0,17.0,0.319,0.385,0.704,87.0,15.0,0.0,2.0,DH/2
Sam Haggerty#,32.0,TEX,AL,-0.4,35.0,47.0,44.0,3.0,7.0,0.0,1.0,2.0,2.0,16.0,0.213,0.182,0.395,18.0,8.0,0.0,0.0,7H/81D
Blaze Jordan,23.0,STL,NL,0.4,12.0,47.0,42.0,5.0,12.0,1.0,12.0,0.0,2.0,4.0,0.298,0.476,0.774,116.0,20.0,0.0,3.0,5/3
Connor Joe,33.0,SEA,AL,0.0,21.0,45.0,39.0,2.0,7.0,1.0,3.0,2.0,6.0,15.0,0.289,0.308,0.597,72.0,12.0,0.0,0.0,9/H37
Austin Hays,30.0,CHW,AL,-0.4,12.0,44.0,43.0,3.0,10.0,1.0,7.0,0.0,1.0,13.0,0.25,0.326,0.576,60.0,14.0,0.0,0.0,7/9DH
Jordan Lawlar,23.0,ARI,NL,0.6,12.0,44.0,38.0,6.0,12.0,1.0,4.0,4.0,3.0,10.0,0.409,0.447,0.856,139.0,17.0,0.0,0.0,/78
Sandy León#,37.0,ATL,NL,-0.5,21.0,44.0,44.0,0.0,4.0,0.0,0.0,0.0,0.0,18.0,0.091,0.091,0.182,-48.0,4.0,0.0,0.0,2
Patrick Wisdom,34.0,SEA,AL,-0.6,15.0,44.0,41.0,3.0,5.0,1.0,4.0,0.0,3.0,18.0,0.182,0.22,0.401,15.0,9.0,0.0,0.0,/53HD
Alex Jackson,30.0,MIN,AL,0.1,16.0,43.0,41.0,5.0,13.0,0.0,3.0,0.0,0.0,13.0,0.349,0.39,0.739,105.0,16.0,0.0,0.0,2/1H
Jesús Rodríguez,24.0,SFG,NL,-0.1,14.0,43.0,39.0,3.0,9.0,2.0,7.0,1.0,3.0,5.0,0.302,0.385,0.687,96.0,15.0,0.0,0.0,/27H94
Max Schuemann,29.0,NYY,AL,0.0,22.0,42.0,32.0,9.0,6.0,0.0,3.0,2.0,9.0,10.0,0.381,0.313,0.693,97.0,10.0,0.0,0.0,H/7961458D
Nick Sogard#,28.0,BOS,AL,0.2,12.0,41.0,35.0,3.0,9.0,0.0,2.0,0.0,5.0,6.0,0.35,0.371,0.721,106.0,13.0,1.0,0.0,/4563H
Travis d'Arnaud,37.0,LAA,AL,0.2,14.0,40.0,35.0,5.0,7.0,1.0,3.0,0.0,3.0,7.0,0.3,0.314,0.614,74.0,11.0,0.0,0.0,2
Nelson Velázquez,27.0,STL,NL,0.1,15.0,40.0,36.0,6.0,10.0,2.0,6.0,0.0,3.0,10.0,0.35,0.5,0.85,138.0,18.0,0.0,0.0,/7HD9
Parker Meadows*,26.0,DET,AL,0.1,12.0,39.0,36.0,3.0,9.0,0.0,2.0,3.0,2.0,10.0,0.308,0.333,0.641,78.0,12.0,0.0,0.0,8/H
Félix Reyes,25.0,PHI,NL,-0.5,12.0,38.0,38.0,2.0,6.0,1.0,2.0,0.0,0.0,9.0,0.158,0.263,0.421,12.0,10.0,0.0,0.0,/7359H
George Valera*,25.0,CLE,AL,-0.2,13.0,38.0,37.0,1.0,8.0,0.0,6.0,0.0,1.0,8.0,0.237,0.297,0.534,50.0,11.0,0.0,0.0,/79HD
Gage Workman*,26.0,DET,AL,-0.5,16.0,38.0,38.0,3.0,6.0,2.0,5.0,0.0,0.0,16.0,0.158,0.395,0.553,47.0,15.0,0.0,0.0,5/H4D
Jhostynxon García,23.0,PIT,NL,-0.4,13.0,37.0,35.0,2.0,7.0,0.0,2.0,0.0,1.0,10.0,0.243,0.229,0.472,31.0,8.0,0.0,0.0,/879DH
Ronny Mauricio#,25.0,NYM,NL,-0.3,11.0,37.0,37.0,3.0,8.0,1.0,2.0,0.0,0.0,13.0,0.216,0.324,0.541,49.0,12.0,0.0,0.0,/65DH
Will Wagner*,27.0,SDP,NL,0.1,13.0,37.0,29.0,4.0,8.0,0.0,0.0,0.0,8.0,7.0,0.432,0.31,0.743,114.0,9.0,0.0,0.0,D/4H5
Griffin Conine*,28.0,MIA,NL,0.3,14.0,36.0,33.0,6.0,7.0,2.0,5.0,2.0,2.0,12.0,0.278,0.455,0.732,104.0,15.0,0.0,0.0,/79HD3
Rece Hinds,25.0,CIN,NL,-0.4,12.0,36.0,33.0,2.0,4.0,0.0,5.0,0.0,1.0,18.0,0.167,0.212,0.379,3.0,7.0,0.0,1.0,9/HD
Jerar Encarnacion,28.0,SFG,NL,-0.4,17.0,35.0,34.0,1.0,6.0,0.0,0.0,0.0,1.0,8.0,0.2,0.206,0.406,17.0,7.0,0.0,0.0,/9H3D7
Michael Helman,30.0,TEX,AL,-0.2,15.0,35.0,30.0,2.0,5.0,1.0,2.0,0.0,1.0,6.0,0.235,0.3,0.535,56.0,9.0,1.0,1.0,/86H79
Eloy Jiménez,29.0,TOR,AL,-0.1,12.0,35.0,31.0,2.0,9.0,0.0,3.0,0.0,3.0,7.0,0.343,0.29,0.633,75.0,9.0,0.0,1.0,/DH
Tyler Tolbert,28.0,KCR,AL,-0.1,24.0,35.0,29.0,9.0,7.0,0.0,1.0,5.0,4.0,10.0,0.324,0.241,0.565,63.0,7.0,1.0,1.0,H/649718D
Esmerlyn Valdéz,22.0,PIT,NL,-0.2,12.0,35.0,33.0,4.0,5.0,2.0,6.0,0.0,2.0,17.0,0.2,0.394,0.594,59.0,13.0,0.0,0.0,/9H7
Reese McGuire*,31.0,CHW,AL,-0.5,11.0,34.0,29.0,1.0,5.0,0.0,3.0,0.0,2.0,9.0,0.273,0.172,0.445,29.0,5.0,1.0,0.0,2/1H
Chad Stevens,27.0,COL,NL,-0.4,16.0,34.0,28.0,1.0,1.0,0.0,3.0,0.0,5.0,13.0,0.176,0.036,0.212,-39.0,1.0,0.0,1.0,4/H56
Tanner Murray,26.0,CHW,AL,0.0,13.0,33.0,28.0,2.0,6.0,1.0,3.0,0.0,2.0,7.0,0.281,0.321,0.603,69.0,9.0,1.0,1.0,/756H
Yohel Pozo,29.0,STL,NL,-0.2,18.0,33.0,33.0,0.0,8.0,0.0,5.0,0.0,0.0,3.0,0.242,0.273,0.515,46.0,9.0,0.0,0.0,/HD23
Carson Williams,23.0,TBR,AL,-0.5,12.0,33.0,30.0,6.0,3.0,0.0,3.0,0.0,2.0,11.0,0.156,0.133,0.29,-19.0,4.0,1.0,0.0,/6H4D
Jase Bowen,25.0,SDP,NL,-0.3,16.0,32.0,30.0,3.0,4.0,0.0,0.0,3.0,2.0,14.0,0.188,0.167,0.354,1.0,5.0,0.0,0.0,9/H7D
P.J. Higgins,33.0,CIN,NL,-0.1,13.0,32.0,26.0,1.0,6.0,0.0,4.0,0.0,2.0,8.0,0.276,0.269,0.545,51.0,7.0,3.0,1.0,2/1
Cooper Pratt,21.0,MIL,NL,0.3,9.0,31.0,27.0,2.0,7.0,0.0,2.0,4.0,3.0,6.0,0.323,0.259,0.582,64.0,7.0,0.0,1.0,/6
Kameron Misner*,28.0,KCR,AL,-0.3,11.0,30.0,28.0,1.0,8.0,0.0,4.0,2.0,1.0,12.0,0.31,0.321,0.632,80.0,9.0,1.0,0.0,/87HD
Rikuu Nishida*,25.0,CHW,AL,0.1,12.0,30.0,29.0,3.0,7.0,0.0,2.0,0.0,0.0,5.0,0.241,0.241,0.483,36.0,7.0,1.0,0.0,9/48H
Gabriel Rincones Jr.*,25.0,PHI,NL,-0.3,9.0,30.0,30.0,2.0,4.0,1.0,3.0,0.0,0.0,7.0,0.133,0.233,0.367,-3.0,7.0,0.0,0.0,/9H
Addison Barger*,26.0,TOR,AL,-0.2,9.0,28.0,22.0,2.0,1.0,0.0,2.0,0.0,5.0,7.0,0.214,0.091,0.305,-12.0,2.0,0.0,1.0,/9H
Tyler Black*,25.0,MIL,NL,0.1,9.0,28.0,27.0,2.0,9.0,0.0,7.0,0.0,1.0,7.0,0.357,0.481,0.839,130.0,13.0,0.0,0.0,/DH37
Garrett Stubbs*,33.0,PHI,NL,0.0,17.0,28.0,24.0,7.0,4.0,0.0,1.0,0.0,1.0,5.0,0.25,0.167,0.417,17.0,4.0,0.0,1.0,/2H1357D
Stuart Fairchild,30.0,CLE,AL,0.1,14.0,27.0,19.0,3.0,3.0,0.0,1.0,2.0,7.0,14.0,0.407,0.158,0.565,68.0,3.0,0.0,0.0,/89H7D
Otto Kemp,26.0,PHI,NL,-0.6,13.0,27.0,25.0,0.0,2.0,0.0,0.0,0.0,1.0,10.0,0.148,0.08,0.228,-35.0,2.0,0.0,0.0,7/H4
Miles Mastrobuoni*,30.0,SEA,AL,0.1,8.0,27.0,23.0,3.0,5.0,0.0,1.0,0.0,2.0,10.0,0.269,0.217,0.487,42.0,5.0,1.0,1.0,/5374
Chadwick Tromp,31.0,ATL,NL,-0.2,12.0,27.0,25.0,1.0,5.0,0.0,3.0,0.0,0.0,7.0,0.192,0.24,0.432,22.0,6.0,1.0,1.0,2
Víctor Bericoto,24.0,SFG,NL,0.1,15.0,26.0,26.0,3.0,6.0,3.0,4.0,0.0,0.0,9.0,0.231,0.577,0.808,122.0,15.0,0.0,0.0,9/H73
Billy Cook,27.0,PIT,NL,-0.2,43.0,26.0,26.0,6.0,4.0,0.0,0.0,4.0,0.0,11.0,0.154,0.154,0.308,-15.0,4.0,0.0,0.0,H897/3D
Carlos Santana#,40.0,ARI,NL,-0.5,8.0,26.0,24.0,1.0,2.0,0.0,0.0,0.0,2.0,8.0,0.154,0.125,0.279,-21.0,3.0,0.0,0.0,/3
Anthony Seigler#,27.0,BOS,AL,0.2,8.0,26.0,24.0,3.0,8.0,0.0,1.0,0.0,2.0,7.0,0.385,0.458,0.843,139.0,11.0,0.0,0.0,/45H
Andy Ibáñez,33.0,2TM,2LG,-0.7,14.0,26.0,23.0,1.0,2.0,0.0,5.0,0.0,1.0,3.0,0.115,0.087,0.202,-43.0,2.0,0.0,2.0,/4H573D
Andy Ibáñez,33.0,ATH,AL,-0.4,11.0,18.0,17.0,1.0,2.0,0.0,3.0,0.0,1.0,2.0,0.167,0.118,0.284,-20.0,2.0,0.0,0.0,/4H53D
Andy Ibáñez,33.0,NYM,NL,-0.3,3.0,8.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,-100.0,0.0,0.0,2.0,/75
CJ Kayfus*,24.0,CLE,AL,0.0,9.0,25.0,22.0,4.0,4.0,1.0,2.0,0.0,2.0,8.0,0.28,0.364,0.644,80.0,8.0,0.0,0.0,/79H
Charles McAdoo,24.0,TOR,AL,-0.1,8.0,25.0,25.0,2.0,4.0,1.0,3.0,0.0,0.0,6.0,0.16,0.28,0.44,17.0,7.0,0.0,0.0,/34
Eric Wagaman,28.0,NYM,NL,0.0,14.0,25.0,22.0,3.0,5.0,2.0,4.0,0.0,2.0,6.0,0.32,0.5,0.82,126.0,11.0,0.0,0.0,H/35D79
Jonah Cox,24.0,SFG,NL,0.4,18.0,24.0,22.0,5.0,7.0,1.0,2.0,2.0,0.0,12.0,0.318,0.591,0.909,153.0,13.0,2.0,0.0,8/H7D
Tommy Edman#,31.0,LAD,NL,0.3,7.0,24.0,22.0,0.0,8.0,0.0,1.0,0.0,2.0,4.0,0.417,0.409,0.826,133.0,9.0,0.0,0.0,/754DH
Shay Whitcomb,27.0,HOU,AL,0.0,17.0,24.0,23.0,2.0,3.0,2.0,5.0,0.0,1.0,11.0,0.167,0.391,0.558,50.0,9.0,0.0,0.0,H/536D7
Will Brennan*,28.0,SFG,NL,-0.5,11.0,23.0,23.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.087,0.087,0.174,-50.0,2.0,0.0,0.0,/79HD
Sam Huff,28.0,BAL,AL,-0.1,9.0,23.0,23.0,1.0,4.0,0.0,1.0,0.0,0.0,11.0,0.174,0.261,0.435,21.0,6.0,0.0,0.0,/2H
Ray Delgado*,26.0,HOU,AL,-0.2,10.0,22.0,21.0,1.0,6.0,0.0,2.0,0.0,0.0,3.0,0.286,0.286,0.571,61.0,6.0,1.0,0.0,/456H
Greg Jones#,28.0,MIL,NL,-0.6,11.0,22.0,21.0,0.0,2.0,0.0,1.0,1.0,0.0,9.0,0.095,0.095,0.19,-47.0,2.0,1.0,0.0,/79H
César Salazar*,30.0,HOU,AL,-0.2,9.0,22.0,18.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,0.227,0.056,0.283,-15.0,1.0,0.0,0.0,/21
Kahlil Watson*,23.0,CLE,AL,0.2,7.0,22.0,21.0,1.0,5.0,1.0,6.0,1.0,1.0,9.0,0.273,0.381,0.654,82.0,8.0,0.0,0.0,/9H
Nate Eaton,29.0,BOS,AL,0.2,8.0,21.0,16.0,3.0,4.0,1.0,4.0,2.0,4.0,3.0,0.429,0.563,0.991,179.0,9.0,0.0,0.0,/DH789
Luis Matos,24.0,MIL,NL,-0.1,9.0,21.0,20.0,1.0,4.0,0.0,0.0,0.0,1.0,7.0,0.238,0.2,0.438,23.0,4.0,0.0,0.0,/9H7D
Christian Moore,23.0,LAA,AL,-0.4,5.0,21.0,19.0,0.0,4.0,0.0,1.0,0.0,1.0,10.0,0.238,0.211,0.449,29.0,4.0,0.0,1.0,/74D
Ali Sánchez,29.0,NYY,AL,0.2,10.0,21.0,19.0,2.0,6.0,0.0,3.0,0.0,1.0,7.0,0.381,0.421,0.802,124.0,8.0,0.0,0.0,2
Jeimer Candelario#,32.0,LAA,AL,-0.2,7.0,20.0,18.0,3.0,2.0,0.0,0.0,0.0,1.0,8.0,0.2,0.222,0.422,20.0,4.0,0.0,0.0,/H35D
Aramis Garcia,33.0,ARI,NL,-0.2,8.0,19.0,19.0,2.0,3.0,1.0,2.0,0.0,0.0,6.0,0.158,0.316,0.474,28.0,6.0,0.0,0.0,/2
Cody Freeman,25.0,TEX,AL,-0.3,7.0,18.0,17.0,1.0,4.0,0.0,0.0,0.0,1.0,5.0,0.278,0.235,0.513,53.0,4.0,0.0,0.0,/74H
Daniel Johnson*,30.0,HOU,AL,-0.2,8.0,17.0,14.0,1.0,2.0,0.0,0.0,0.0,2.0,3.0,0.294,0.143,0.437,28.0,2.0,0.0,0.0,/87
César Prieto*,27.0,STL,NL,-0.6,6.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,/56H
Chuckie Robinson,31.0,LAD,NL,-0.2,5.0,17.0,15.0,1.0,2.0,0.0,1.0,0.0,0.0,4.0,0.133,0.133,0.267,-25.0,2.0,2.0,0.0,/2
Hayden Senger,29.0,NYM,NL,-0.1,7.0,17.0,15.0,2.0,2.0,1.0,2.0,0.0,0.0,4.0,0.133,0.333,0.467,25.0,5.0,2.0,0.0,/2
José Azócar,30.0,ATL,NL,0.3,9.0,16.0,15.0,1.0,5.0,0.0,0.0,1.0,1.0,3.0,0.375,0.467,0.842,137.0,7.0,0.0,0.0,/9H78
John Rave*,28.0,KCR,AL,0.4,7.0,16.0,13.0,3.0,4.0,1.0,1.0,0.0,3.0,5.0,0.438,0.846,1.284,253.0,11.0,0.0,0.0,/9H7D
Kyle Farmer,35.0,ATL,NL,-0.1,10.0,15.0,14.0,2.0,4.0,0.0,3.0,0.0,0.0,4.0,0.267,0.357,0.624,75.0,5.0,0.0,1.0,/HD56
Christian Koss,28.0,SFG,NL,-0.2,9.0,15.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.133,0.143,0.276,-21.0,2.0,0.0,0.0,/4H16D
Dylan Moore,33.0,PHI,NL,-0.2,13.0,15.0,12.0,3.0,0.0,0.0,0.0,1.0,3.0,6.0,0.2,0.0,0.2,-39.0,0.0,0.0,0.0,H/3178D4
Ryan Mountcastle,29.0,BAL,AL,-0.1,8.0,15.0,14.0,0.0,4.0,0.0,1.0,0.0,1.0,2.0,0.333,0.357,0.69,95.0,5.0,0.0,0.0,/H3D
Trey Mancini,34.0,LAA,AL,0.0,5.0,14.0,13.0,1.0,4.0,0.0,4.0,0.0,0.0,3.0,0.286,0.462,0.747,107.0,6.0,0.0,1.0,/3DH
Sean Murphy,31.0,ATL,NL,-0.3,4.0,14.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,0.071,0.071,0.143,-59.0,1.0,0.0,0.0,/2
Tommy Pham,38.0,NYM,NL,-0.4,9.0,14.0,13.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,0.071,0.0,0.071,-78.0,0.0,0.0,0.0,/7H
Vidal Bruján#,28.0,NYM,NL,0.0,9.0,13.0,11.0,4.0,1.0,0.0,1.0,0.0,1.0,1.0,0.167,0.091,0.258,-25.0,1.0,1.0,0.0,/6H7
Kyler Fedko,26.0,MIN,AL,-0.3,8.0,13.0,10.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,0.154,0.0,0.154,-52.0,0.0,0.0,1.0,/7H89
Collin Price,26.0,HOU,AL,0.0,7.0,13.0,12.0,1.0,2.0,0.0,0.0,0.0,1.0,6.0,0.231,0.25,0.481,35.0,3.0,0.0,0.0,/2H3D
LaMonte Wade Jr.*,32.0,HOU,AL,0.0,4.0,13.0,12.0,2.0,4.0,1.0,4.0,0.0,1.0,3.0,0.385,0.75,1.135,208.0,9.0,0.0,0.0,/73H
Oliver Dunn*,28.0,TBR,AL,-0.2,9.0,12.0,11.0,4.0,1.0,0.0,1.0,0.0,1.0,3.0,0.167,0.091,0.258,-26.0,1.0,0.0,0.0,/H65D
Nick Morabito,23.0,NYM,NL,-0.3,5.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.083,0.0,0.083,-74.0,0.0,0.0,0.0,/7DH9
Johnathan Rodríguez,26.0,BAL,AL,-0.2,5.0,11.0,7.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,0.273,0.0,0.273,-14.0,0.0,0.0,1.0,/9HD
Kevin Alcántara,23.0,CHC,NL,0.0,12.0,10.0,9.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,0.2,0.111,0.311,-7.0,1.0,0.0,0.0,/HD87
Ryan Bliss,26.0,SEA,AL,0.0,3.0,10.0,8.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,0.2,0.125,0.325,-4.0,1.0,0.0,1.0,/4DH
Junior Pérez,24.0,CHW,AL,0.0,6.0,10.0,9.0,1.0,2.0,1.0,1.0,0.0,1.0,4.0,0.3,0.556,0.856,134.0,5.0,0.0,0.0,/87H9
Josh Rojas*,32.0,KCR,AL,0.2,5.0,10.0,10.0,2.0,3.0,1.0,4.0,0.0,0.0,1.0,0.3,0.7,1.0,172.0,7.0,0.0,0.0,/H456
Nick Solak,31.0,SDP,NL,-0.1,4.0,10.0,7.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.3,0.143,0.443,30.0,1.0,0.0,1.0,/DH
Rowdy Tellez*,31.0,ATL,NL,0.0,6.0,10.0,10.0,2.0,2.0,1.0,4.0,0.0,0.0,3.0,0.2,0.5,0.7,90.0,5.0,0.0,0.0,/H3D
Luis Urías,29.0,TOR,AL,0.2,3.0,10.0,9.0,1.0,3.0,1.0,2.0,0.0,1.0,1.0,0.4,0.667,1.067,184.0,6.0,0.0,0.0,/4
Joey Meneses,34.0,ATH,AL,-0.1,3.0,9.0,7.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.333,0.143,0.476,37.0,1.0,0.0,0.0,/D
Kyle Teel*,24.0,CHW,AL,0.0,2.0,9.0,7.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.333,0.143,0.476,40.0,1.0,0.0,0.0,/2
Jace Jung*,25.0,DET,AL,0.0,3.0,8.0,6.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.375,0.167,0.542,58.0,1.0,0.0,0.0,/D
Buddy Kennedy,27.0,SFG,NL,-0.2,7.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.125,0.0,0.125,-60.0,0.0,0.0,0.0,/H514D
Steward Berroa#,27.0,PHI,NL,-0.1,6.0,7.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,0.143,0.143,0.286,-22.0,1.0,0.0,0.0,/897
Deyvison De Los Santos,23.0,MIA,NL,0.0,3.0,7.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.286,0.429,0.714,100.0,3.0,0.0,0.0,/3D
Ben Malgeri,26.0,DET,AL,0.0,2.0,7.0,6.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,0.286,0.333,0.619,71.0,2.0,0.0,1.0,/98
Jared Oliva,30.0,SFG,NL,0.0,7.0,7.0,7.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.143,0.143,0.286,-18.0,1.0,0.0,0.0,/8H7
Ryan Ritter,25.0,COL,NL,-0.1,6.0,7.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.143,0.143,0.286,-23.0,1.0,0.0,0.0,/4H
Brett Harris,28.0,ATH,AL,0.1,5.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.333,0.0,0.333,2.0,0.0,0.0,0.0,/5H4
Logan Porter,30.0,2TM,2LG,0.1,3.0,6.0,4.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,0.5,0.5,1.0,185.0,2.0,0.0,0.0,/2H
Logan Porter,30.0,SFG,NL,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,/H
Logan Porter,30.0,LAA,AL,0.1,2.0,6.0,4.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.5,0.5,1.0,185.0,2.0,0.0,0.0,/2
Will Wilson,27.0,SEA,AL,0.0,2.0,6.0,5.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,0.333,0.8,1.133,212.0,4.0,0.0,0.0,/5
Luken Baker,29.0,ARI,NL,-0.1,3.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.2,0.2,0.4,12.0,1.0,0.0,0.0,/3H
Trei Cruz#,27.0,DET,AL,-0.2,2.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,/79
Rafael Flores,25.0,PIT,NL,0.2,2.0,5.0,3.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,0.8,2.0,2.8,639.0,6.0,0.0,0.0,/2
Jim Jarvis*,25.0,ATL,NL,-0.1,2.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.2,0.2,0.4,14.0,1.0,0.0,0.0,/6
Michael Stefanic,30.0,ATH,AL,0.0,2.0,5.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.4,0.4,0.8,119.0,2.0,0.0,0.0,/46H
Dylan Carlson#,27.0,CHC,NL,-0.2,3.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,/H79D
Gabriel González,22.0,MIN,AL,0.1,1.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.75,0.5,1.25,256.0,1.0,0.0,0.0,/7
Kiké Hernández,34.0,LAD,NL,0.2,2.0,4.0,4.0,2.0,4.0,1.0,2.0,0.0,0.0,0.0,1.0,2.25,3.25,777.0,9.0,0.0,0.0,/5
Scott Kingery,32.0,CHC,NL,-0.2,8.0,4.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.25,0.25,0.5,44.0,1.0,0.0,0.0,/HD45
Davis Wendzel,29.0,PIT,NL,-0.1,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,/34H
Justin Dean,29.0,CHC,NL,0.1,3.0,3.0,3.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.667,1.333,2.0,455.0,4.0,0.0,0.0,/98
Blake Hunt,27.0,SDP,NL,0.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,/2
Omar Martínez*,24.0,LAA,AL,0.0,5.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.333,0.333,0.667,90.0,1.0,0.0,0.0,/2H
Brian Navarreto,31.0,MIA,NL,0.1,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.5,59.0,0.0,1.0,0.0,/2
Jair Camargo,26.0,ATL,NL,0.1,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,1.5,311.0,2.0,0.0,0.0,/2H
Jeferson Quero,23.0,MIL,NL,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.5,55.0,0.0,0.0,0.0,/2
Maverick Handley,28.0,BAL,AL,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,/H
Michael Siani*,26.0,BAL,AL,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,/8
Luke Williams,29.0,ATL,NL,-0.1,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,0.0,0.0,0.0,/47H
Clayton Beeter,27.0,WSN,NL,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,1
Paul Blackburn,32.0,NYY,AL,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,1
Kyle Bradish,29.0,BAL,AL,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,1
Aroldis Chapman*,38.0,BOS,AL,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,1
Jack Dreyer,27.0,LAD,NL,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,1
Jhoan Duran,28.0,PHI,NL,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,1
Lucas Erceg*,31.0,KCR,AL,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,1
Carlos Estévez,33.0,KCR,AL,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,/1
